Colony Size,Total Oxygen Consumption
25,37.16276288545097
50,72.7166724338421
75,110.4397471248971
100,146.21201943574678
125,183.62117692789568
150,222.90077877966382
25,37.7906727361413
50,74.22319192885972
75,111.37128506857674
100,147.58607582407802
125,184.47686421711126
150,218.9053938489308
25,38.14505430581872
50,72.97230814833277
75,111.2793563033985
100,147.78408028300066
125,186.68799677884036
150,221.28771725520747
25,35.94847977214682
50,74.74506203443181
75,110.54160937208442
100,146.44155109694384
125,181.9574235100804
150,218.64580100501652
25,35.29580892785994
50,73.36303220045036
75,111.03541093893304
100,148.37978299607883
125,184.2199294929175
150,221.59411241374713
